City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Bluff,NZ,-46.6,168.3333,58.8,86,95,13.04,overcast clouds
80,Sitka,US,57.0531,-135.33,39.09,81,0,0.0,clear sky
81,Sumbawanga,TZ,-7.9667,31.6167,57.88,91,94,2.42,light rain
82,Bengkulu,ID,-3.8004,102.2655,82.36,71,91,9.62,overcast clouds
83,Druzhba,UA,52.0428,33.9453,23.49,82,100,9.71,overcast clouds
84,Dingle,PH,10.9995,122.6711,77.94,93,100,10.02,moderate rain
85,Awjilah,LY,29.1081,21.2869,63.19,32,0,12.8,clear sky
86,Cancun,MX,21.1743,-86.8466,78.73,78,40,11.5,light rain
87,Souillac,MU,-20.5167,57.5167,68.38,77,20,3.44,few clouds
88,Provideniya,RU,64.3833,-173.3,32.36,86,100,13.42,fog
89,Cockburn Town,TC,21.4612,-71.1419,81.45,76,5,18.28,clear sky
90,Paamiut,GL,61.994,-49.6678,18.81,61,100,2.51,overcast clouds
91,Dunedin,NZ,-45.8742,170.5036,55.8,84,94,1.99,overcast clouds
92,Narasannapeta,IN,18.4167,84.05,73.06,55,96,7.11,overcast clouds
93,Warmbad,NA,-28.45,18.7333,58.8,37,3,6.29,clear sky
94,Road Town,VG,18.4167,-64.6167,80.69,69,2,20.18,clear sky
95,Albany,US,42.6001,-73.9662,34.57,70,63,1.01,broken clouds
96,Hilo,US,19.7297,-155.09,79.25,88,20,9.22,few clouds
97,Nong Bua,TH,15.8646,100.5858,86.9,73,98,1.83,overcast clouds
98,Rudbar,AF,30.15,62.6,63.52,21,93,5.95,overcast clouds
99,Butaritari,KI,3.0707,172.7902,80.96,75,69,13.0,broken clouds
100,Anadyr,RU,64.75,177.4833,12.7,79,20,13.42,few clouds
101,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,1.01,overcast clouds
102,Severobaykalsk,RU,55.65,109.3167,22.06,61,98,9.98,overcast clouds
103,Puerto Narino,CO,-3.7703,-70.3831,72.01,99,59,2.37,broken clouds
104,Astana,KZ,51.1801,71.446,17.55,86,100,2.24,overcast clouds
105,Rubizhne,UA,49.0123,38.3797,35.44,88,100,14.29,overcast clouds
106,Hermanus,ZA,-34.4187,19.2345,52.81,71,93,4.16,overcast clouds
107,Sao Filipe,CV,14.8961,-24.4956,78.55,75,80,3.74,broken clouds
108,Alekseyevka,RU,50.6309,38.6903,27.37,97,100,14.5,light snow
109,Esperance,AU,-33.8667,121.9,63.95,44,54,10.67,broken clouds
110,Yellowknife,CA,62.456,-114.3525,19.92,68,40,15.01,scattered clouds
111,Ribeira Grande,PT,38.5167,-28.7,58.77,67,15,7.0,few clouds
112,Klyuchi,RU,52.2667,79.1667,16.18,64,25,5.01,scattered clouds
113,Leningradskiy,RU,69.3833,178.4167,6.71,95,100,15.48,light snow
114,Airai,TL,-8.9266,125.4092,78.24,47,23,1.52,few clouds
115,Gambela,ET,8.25,34.5833,70.23,80,4,3.85,clear sky
116,Sola,VU,-13.8833,167.55,84.87,74,5,0.0,clear sky
117,Atasu,KZ,48.6814,71.6433,12.7,92,86,6.58,overcast clouds
118,Port Blair,IN,11.6667,92.75,80.64,83,40,2.3,scattered clouds
119,Svetlogorsk,BY,52.6333,29.7333,25.7,85,97,6.91,overcast clouds
120,Alice Springs,AU,-23.7,133.8833,83.75,45,100,12.66,overcast clouds
121,Morros,BR,-9.4467,-46.3003,74.48,76,97,3.47,overcast clouds
122,Kavieng,PG,-2.5744,150.7967,85.24,63,93,10.87,overcast clouds
123,Adelanto,US,34.5828,-117.4092,56.14,35,84,0.54,broken clouds
124,Thompson,CA,55.7435,-97.8558,9.97,89,100,10.07,overcast clouds
125,Mananara,MG,-16.1667,49.7667,74.14,91,100,2.57,overcast clouds
126,Hobyo,SO,5.3505,48.5268,80.51,72,99,12.8,overcast clouds
127,New Norfolk,AU,-42.7826,147.0587,66.88,47,32,1.99,scattered clouds
128,Cabo San Lucas,MX,22.8909,-109.9124,71.91,78,0,3.44,clear sky
129,Marsa Matruh,EG,31.3525,27.2453,64.54,42,0,16.11,clear sky
130,Vestmanna,FO,62.1564,-7.1664,45.52,81,100,28.77,overcast clouds
131,Seddon,AU,-37.8068,144.8916,77.02,50,20,12.66,few clouds
132,Khorixas,NA,-20.3667,14.9667,69.39,31,84,6.73,broken clouds
133,Cape Town,ZA,-33.9258,18.4232,58.26,76,20,5.75,few clouds
134,Durban,ZA,-29.8579,31.0292,71.02,91,100,4.43,overcast clouds
135,Berlevag,NO,70.8578,29.0864,37.2,87,100,5.75,overcast clouds
136,Gizo,SB,-8.103,156.8419,84.13,70,87,2.64,light rain
137,Victoria,HK,22.2855,114.1577,82.04,76,0,8.01,clear sky
138,Ampanihy,MG,-24.7,44.75,68.68,85,0,4.59,clear sky
139,Bratsk,RU,56.1325,101.6142,16.29,86,97,10.27,light snow
140,Bialogard,PL,54.007,15.9875,29.93,73,4,6.91,clear sky
141,Manta,EC,-0.95,-80.7333,71.38,83,75,10.36,broken clouds
142,East London,ZA,-33.0153,27.9116,64.69,90,100,1.54,overcast clouds
143,Salalah,OM,17.0151,54.0924,75.25,70,13,1.97,few clouds
144,Asyut,EG,27.181,31.1837,60.24,56,0,4.43,clear sky
145,Tampakan,PH,6.4442,124.9264,88.09,75,100,2.04,overcast clouds
146,Olafsvik,IS,64.8945,-23.7142,44.15,87,97,13.18,overcast clouds
147,Ilulissat,GL,69.2167,-51.1,21.22,86,100,4.61,light snow
148,San Cristobal,VE,7.7669,-72.225,69.98,96,100,2.3,overcast clouds
149,Orbetello,IT,42.4408,11.2196,59.02,86,32,10.8,scattered clouds
150,Nanortalik,GL,60.1432,-45.2371,22.82,72,100,3.42,overcast clouds
151,Otradnoye,RU,59.7775,30.8181,26.65,84,14,6.46,few clouds
152,Senanga,ZM,-16.1167,23.2667,72.03,56,37,5.17,scattered clouds
153,San Patricio,US,28.017,-97.5169,54.84,58,100,6.33,overcast clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,70.75,74,0,5.93,clear sky
155,Adrar,MR,20.5022,-10.0711,66.78,16,0,9.06,clear sky
156,Saldanha,ZA,-33.0117,17.9442,51.85,72,78,14.38,broken clouds
157,Turukhansk,RU,65.8167,87.9833,6.69,88,100,24.61,light snow
158,Carnarvon,AU,-24.8667,113.6333,68.47,54,90,20.76,overcast clouds
159,Acarau,BR,-2.8856,-40.12,78.84,79,25,12.59,scattered clouds
160,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,0,5.99,clear sky
161,Carros,FR,43.7894,7.184,58.71,62,0,18.41,clear sky
162,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,12.66,overcast clouds
163,Nouadhibou,MR,20.931,-17.0347,73.38,35,0,16.11,clear sky
164,Pacifica,US,37.6138,-122.4869,56.8,77,20,14.97,few clouds
165,Severo-Kurilsk,RU,50.6789,156.125,34.93,68,100,15.48,overcast clouds
166,Kangaatsiaq,GL,68.3065,-53.4641,20.37,84,99,6.42,overcast clouds
167,Edd,ER,13.9297,41.6925,81.77,35,1,14.52,clear sky
168,Itarema,BR,-2.9248,-39.9167,78.94,78,40,12.55,scattered clouds
169,Gwadar,PK,25.1216,62.3254,76.89,72,9,7.61,clear sky
170,Matara,LK,5.9485,80.5353,80.28,76,83,0.96,broken clouds
171,Varhaug,NO,58.6147,5.6457,40.89,67,35,34.05,scattered clouds
172,Alpena,US,45.0617,-83.4327,30.45,91,40,6.91,scattered clouds
173,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.68,84,82,1.32,broken clouds
174,Khatanga,RU,71.9667,102.5,-21.73,89,99,9.06,overcast clouds
175,Peniche,PT,39.3558,-9.3811,60.12,82,90,20.65,overcast clouds
176,Te Anau,NZ,-45.4167,167.7167,61.02,73,99,3.74,light rain
177,Kiunga,PG,-6.1219,141.2906,90.37,54,99,3.69,overcast clouds
178,Ivanivka,UA,46.7208,34.553,40.89,80,100,11.95,overcast clouds
179,Shenjiamen,CN,29.9576,122.298,65.8,91,100,7.74,overcast clouds
180,Bageshwar,IN,29.85,79.7667,56.44,47,0,0.63,clear sky
181,Freeport,US,40.6576,-73.5832,40.17,61,40,17.27,scattered clouds
182,Luwuk,ID,-0.9516,122.7875,82.99,78,100,0.87,overcast clouds
183,Sorong,ID,-0.8833,131.25,84.09,73,100,4.54,overcast clouds
184,Forestville,US,38.8451,-76.875,37.38,59,0,8.05,clear sky
185,Shache,CN,38.4167,77.2406,40.73,20,39,2.17,scattered clouds
186,Iqaluit,CA,63.7506,-68.5145,4.73,77,100,11.5,light snow
187,Amambai,BR,-23.1042,-55.2258,63.72,72,2,4.79,clear sky
188,Obersiggenthal,CH,47.4875,8.2965,49.6,93,75,8.05,broken clouds
189,Klaksvik,FO,62.2266,-6.589,47.32,83,90,36.31,light rain
190,Cherskiy,RU,68.75,161.3,-26.99,100,100,5.19,overcast clouds
191,Bubaque,GW,11.2833,-15.8333,83.07,74,99,9.64,overcast clouds
192,Oksfjord,NO,70.2396,22.3479,39.38,44,83,9.13,broken clouds
193,Longhua,CN,23.6137,114.1919,85.93,54,4,2.15,clear sky
194,Westport,US,41.1415,-73.3579,39.81,66,0,8.05,clear sky
195,Lethem,GY,3.3803,-59.7968,81.12,68,99,4.03,moderate rain
196,Torbay,CA,47.6666,-52.7314,44.76,85,100,28.77,overcast clouds
197,Maningrida,AU,-12.0667,134.2667,92.01,51,100,9.37,overcast clouds
198,Krasnyy Chikoy,RU,50.3643,108.7512,23.9,65,100,6.58,overcast clouds
199,Tijucas,BR,-27.2414,-48.6336,68.05,84,60,4.38,broken clouds
200,Luderitz,NA,-26.6481,15.1594,57.6,64,42,13.47,scattered clouds
201,Luba,GQ,3.4568,8.5547,78.42,86,100,6.04,light rain
202,Solnechnyy,RU,50.7214,136.6319,27.34,60,100,2.28,overcast clouds
203,Fortuna,US,40.5982,-124.1573,47.32,95,100,4.61,overcast clouds
204,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,40,0,9.22,clear sky
205,Witu,KE,-2.3889,40.4382,75.36,90,97,0.89,overcast clouds
206,Yaan,NG,7.3833,8.5667,73.58,78,71,2.39,broken clouds
207,Iwanai,JP,42.9744,140.5089,46.15,65,100,4.27,moderate rain
208,Gourcy,BF,13.2167,-2.35,71.22,16,4,8.34,clear sky
209,Sault Sainte Marie,CA,46.5168,-84.3333,25.09,68,100,4.61,overcast clouds
210,Seydi,TM,39.4816,62.9137,53.29,47,100,6.13,overcast clouds
211,Mehamn,NO,71.0357,27.8492,35.55,93,100,5.75,overcast clouds
212,Katsuura,JP,35.1333,140.3,61.38,65,90,11.59,overcast clouds
213,Kulhudhuffushi,MV,6.6221,73.07,81.97,71,7,4.21,clear sky
214,Khuzhir,RU,53.1939,107.3397,24.39,59,70,14.05,broken clouds
215,Ouro Preto,BR,-20.3948,-43.5052,57.94,98,53,2.98,broken clouds
216,Nemuro,JP,43.3236,145.575,41.58,54,37,11.05,scattered clouds
217,Skibbereen,IE,51.55,-9.2667,47.1,75,19,14.32,few clouds
218,Gaoual,GN,11.75,-13.2,72.09,39,100,1.66,overcast clouds
219,Necochea,AR,-38.5473,-58.7368,56.64,82,77,11.16,light rain
220,Noumea,NC,-22.2763,166.4572,84.18,78,78,12.03,broken clouds
221,Flinders,AU,-34.5833,150.8552,66.25,57,36,12.08,scattered clouds
222,Udachnyy,RU,66.4167,112.4,-29.51,99,21,4.07,few clouds
223,Henties Bay,NA,-22.116,14.2845,59.29,91,95,4.14,overcast clouds
224,Quatre Cocos,MU,-20.2078,57.7625,75.09,60,0,4.79,clear sky
225,Saskylakh,RU,71.9167,114.0833,-36.94,100,24,4.09,few clouds
226,Kedougou,SN,12.5579,-12.1743,72.18,60,0,0.0,clear sky
227,Pulandian,CN,39.3953,121.9669,54.66,61,95,8.77,overcast clouds
228,Xuanhua,CN,40.6103,115.0447,46.54,42,100,7.56,overcast clouds
229,Ulagan,RU,50.6321,87.9563,10.67,86,100,2.01,overcast clouds
230,Hualmay,PE,-11.0964,-77.6139,63.86,85,60,7.18,broken clouds
231,Mecca,SA,21.4267,39.8261,75.92,72,0,2.75,clear sky
232,Aitape,PG,-3.1374,142.3475,84.97,70,100,4.7,overcast clouds
233,Waingapu,ID,-9.6567,120.2641,84.02,73,96,2.73,overcast clouds
234,Springbok,ZA,-29.6643,17.8865,47.17,54,13,1.72,few clouds
235,Taft,IR,31.7471,54.2088,51.75,82,100,6.91,light rain
236,Redmond,US,47.674,-122.1215,45.88,53,0,1.01,clear sky
237,Kindu,CD,-2.95,25.95,67.46,100,100,1.9,moderate rain
238,Srednekolymsk,RU,67.45,153.6833,-22.65,95,85,10.47,overcast clouds
239,Pueblo Nuevo,MX,23.3833,-105.3833,50.29,64,38,5.19,scattered clouds
240,Lensk,RU,60.7253,114.9278,-0.38,92,100,2.8,overcast clouds
241,Qasigiannguit,GL,68.8193,-51.1922,21.45,93,100,3.71,overcast clouds
242,Pontianak,ID,-0.0333,109.3333,84.18,84,40,5.75,scattered clouds
243,Bira,RU,49.0,132.4667,31.19,71,93,1.99,overcast clouds
244,Kaiwaka,NZ,-36.1667,174.45,67.89,80,19,7.07,few clouds
245,Kita,ML,13.0349,-9.4895,71.38,25,96,5.06,overcast clouds
246,Verkhoturye,RU,58.8627,60.8054,5.34,84,5,6.35,clear sky
247,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.96,81,37,10.87,scattered clouds
248,Kambar,PK,27.5868,68.001,70.16,38,0,3.36,clear sky
249,Naze,JP,28.3667,129.4833,72.52,82,54,2.48,broken clouds
250,Emet,TR,39.343,29.2585,48.36,82,83,7.45,broken clouds
251,Cidreira,BR,-30.1811,-50.2056,66.72,83,32,9.35,scattered clouds
252,Kudahuvadhoo,MV,2.6708,72.8944,81.84,75,100,17.76,overcast clouds
253,Fos-Sur-Mer,FR,43.4377,4.9446,55.31,87,0,11.5,clear sky
254,Southbury,US,41.4815,-73.2132,36.99,62,0,6.91,clear sky
255,Jeremie,HT,18.65,-74.1167,78.62,81,73,3.11,broken clouds
256,Magistralnyy,RU,56.1725,107.4458,19.47,70,90,8.79,overcast clouds
257,Vinukonda,IN,16.05,79.75,72.16,65,60,4.45,broken clouds
258,Amarante,BR,-6.2411,-42.8547,78.66,58,33,1.68,scattered clouds
259,Ternate,ID,0.8,127.4,85.44,70,40,5.59,scattered clouds
260,Avera,US,33.194,-82.5271,36.91,50,6,6.69,clear sky
261,Coihaique,CL,-45.5752,-72.0662,52.41,100,100,2.3,moderate rain
262,Beringovskiy,RU,63.05,179.3167,26.15,94,99,3.04,light snow
263,Lavrentiya,RU,65.5833,-171.0,33.76,89,100,20.13,overcast clouds
264,Killybegs,IE,54.6333,-8.45,48.72,76,100,17.58,overcast clouds
265,Hofn,IS,64.2539,-15.2082,45.59,95,100,12.64,overcast clouds
266,Menongue,AO,-14.6585,17.691,62.55,84,7,4.16,clear sky
267,Kieta,PG,-6.2167,155.6333,81.84,79,98,3.29,moderate rain
268,Deputatskiy,RU,69.3,139.9,-26.41,98,19,2.3,few clouds
269,Mubi,NG,10.2676,13.2644,66.29,37,29,2.62,scattered clouds
270,Gisborne,NZ,-38.6533,178.0042,64.44,92,91,4.7,overcast clouds
271,Mount Isa,AU,-20.7333,139.5,94.77,16,1,6.91,clear sky
272,Laguna,US,38.421,-121.4238,54.79,70,0,0.0,clear sky
273,Xuddur,SO,4.1213,43.8894,69.89,92,2,10.8,clear sky
274,Faanui,PF,-16.4833,-151.75,78.93,78,16,6.58,moderate rain
275,Bialystok,PL,53.1333,23.15,26.98,90,97,5.99,overcast clouds
276,Rincon,US,32.296,-81.2354,47.86,82,40,4.61,scattered clouds
277,Roma,US,43.2128,-75.4557,33.82,86,100,3.44,overcast clouds
278,Muroto,JP,33.2833,134.15,63.45,55,0,9.8,clear sky
279,Velingrad,BG,42.0272,23.9957,51.94,88,4,5.82,clear sky
280,Trenggalek,ID,-8.05,111.7167,81.36,74,100,2.64,overcast clouds
281,Kaitangata,NZ,-46.2817,169.8464,59.04,72,87,8.79,overcast clouds
282,Longyearbyen,SJ,78.2186,15.6401,24.64,93,100,4.61,overcast clouds
283,Vardo,NO,70.3705,31.1107,39.18,65,100,2.3,overcast clouds
