City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
302,Nata,PA,75.92,moderate rain,8.3333,-80.5167,Rey David
303,Sal Rei,CV,77.7,few clouds,16.1833,-22.9167,Marine Club Beach Resort
305,Touros,BR,78.01,few clouds,-5.1989,-35.4608,INN NEW HORIZON
309,Coahuayana,MX,75.04,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
315,Carolina,PR,80.76,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
316,Tevaitoa,PF,80.08,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
318,Buala,SB,83.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
319,Ambulu,ID,78.26,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
324,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
329,Itoman,JP,82.78,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
331,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
333,Vanimo,PG,84.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
335,Jambi,ID,87.67,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
341,Rio Cuarto,AR,78.48,clear sky,-33.1307,-64.3499,Hotel Menossi
344,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
348,Catamarca,AR,86.07,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
351,Manaure,CO,79.38,overcast clouds,11.7751,-72.4445,Hotel Palaaima
355,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
357,Labuhan,ID,83.88,overcast clouds,-6.8844,112.2051,DoubleFAG
364,Namatanai,PG,84.97,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
366,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
368,Martapura,ID,75.29,moderate rain,-3.4167,114.85,Montana Hotel Syariah
369,Manaus,BR,84.69,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
374,Cururupu,BR,75.06,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
377,Yulara,AU,86.41,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
383,Merauke,ID,86.54,overcast clouds,-8.4667,140.3333,
388,Lagos,NG,79.12,light rain,6.5833,3.75,
390,Black River,JM,77.7,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
391,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
397,Tabou,CI,77.56,light rain,4.423,-7.3528,hotêl doufoulougou
399,Mumford,GH,78.06,broken clouds,5.2618,-0.759,Peace Guest House
400,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
407,Mogadishu,SO,78.93,clear sky,2.0371,45.3438,Hotel Juba
413,Klaeng,TH,87.94,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
